yolo11n,22.0,0.816,0.706,0.789,0.415,0.427,0.921,0.826,0.933,0.711,0.61,0.696,0.434,0.551,0.2,0.252,0.832,0.858,0.883,0.334,0.418
yolo11n,9.0,0.401,0.546,0.466,0.118,0.199,0.458,0.652,0.561,0.154,0.266,0.359,0.193,0.152,0.00912,0.0388,0.386,0.793,0.683,0.191,0.291
yolo11n,20.299999999999997,0.759,0.787,0.811,0.444,0.463,0.775,0.966,0.953,0.734,0.676,0.716,0.581,0.673,0.295,0.331,0.786,0.814,0.808,0.304,0.381
yolo11n,14.799999999999999,0.561,0.438,0.481,0.161,0.212,0.566,0.631,0.594,0.279,0.296,0.491,0.0111,0.162,0.0138,0.0437,0.625,0.672,0.687,0.19,0.295
yolo11n,15.9,0.699,0.743,0.753,0.455,0.425,0.742,0.887,0.878,0.821,0.616,0.619,0.515,0.569,0.206,0.259,0.737,0.828,0.812,0.339,0.398
yolo11n,14.700000000000001,0.405,0.435,0.396,0.124,0.169,0.464,0.436,0.417,0.192,0.198,0.278,0.125,0.124,0.00562,0.0318,0.473,0.744,0.647,0.175,0.277
yolo11n,17.900000000000002,0.737,0.716,0.768,0.449,0.424,0.655,0.967,0.921,0.854,0.64,0.719,0.379,0.545,0.197,0.245,0.838,0.804,0.837,0.297,0.389
yolo11n,11.6,0.364,0.434,0.365,0.123,0.155,0.416,0.433,0.321,0.181,0.158,0.241,0.116,0.125,0.00667,0.0309,0.434,0.752,0.65,0.183,0.276
yolo11n,7.300000000000001,0.713,0.697,0.708,0.326,0.361,0.742,0.913,0.863,0.561,0.528,0.58,0.344,0.409,0.108,0.161,0.817,0.834,0.851,0.31,0.392
yolo11n,12.8,0.436,0.428,0.412,0.16,0.19,0.4,0.522,0.484,0.267,0.271,0.348,0.0867,0.118,0.00483,0.027,0.561,0.675,0.635,0.207,0.271
